pos,title,artist,lyrics,genre,anger,joy,sadness,top_emotion,num_words
1,Blinding Lights,The Weeknd,"   Yeah      I've been tryna call    I've been on my own for long enough    Maybe you can show me how to love, maybe  I'm goin' through withdrawals    You don't even have to do too much    You can turn me on with just a touch, baby        I look around andSin City's cold and empty (Oh)No one's around to judge me (Oh)I can't see clearly when you're gone        I said, ooh, I'm blinded by the lightsNo, I can't sleep until I feel your touchI said, ooh, I'm drowning in the nightOh, when I'm like this, you're the one I trustHey, hey, hey        I'm running out of time'Cause I can see the sun light up the sky    So I hit the road in overdrive, baby, oh       The city's cold and empty (Oh)No one's around to judge me (Oh)I can't see clearly when you're gone        I said, ooh, I'm blinded by the lightsNo, I can't sleep until I feel your touchI said, ooh, I'm drowning in the nightOh, when I'm like this, you're the one I trust        I'm just calling back to let you know (Back to let you know)I could never say it on the phone (Say it on the phone)Will never let you go this time (Ooh)        I said, ooh, I'm blinded by the lightsNo, I can't sleep until I feel your touchHey, hey, hey Hey, hey, hey        I said, ooh, I'm blinded by the lightsNo, I can't sleep until I feel your touch",2010s,6.22,2.92,53.13,sadness,241
2,Shape of You,Ed Sheeran,"   A club isn't the best place to find a loverSo the bar is where I go (Mm)Me and my friends at the table doin' shotsDrinkin' fast and then we talk slow (Mm)And you come over and start up a conversation with just meAnd trust me, I'll give it a chance now (Mm)    Take my hand, stop, put Van the Man on the jukeboxAnd then we start to dance, and now I'm singin' like        Girl, you know I want your love  Your love was handmade for somebody like me  Well, come on now, follow my leadI may be crazy, don't mind me    Say, ""Boy, let's not talk too much""  Grab on my waist and put that body on me  Well, come on now, follow my leadCome, come on now, follow my lead, mm        I'm in love with the shape of youWe push and pull like a magnet do    Although my heart is fallin' too  I'm in love with your body  And last night, you were in my roomAnd now my bed sheets smell like you    Every day, discoverin' somethin' brand newWell, I'm in love with your body       Oh, I, oh, I, oh, I, oh, I  Well, I'm in love with your body  Oh, I, oh, I, oh, I, oh, I  Well, I'm in love with your body  Oh, I, oh, I, oh, I, oh, I  Well, I'm in love with your body  Every day, discoverin' somethin' brand newI'm in love with the shape of you        One week in, we let the story beginWe're goin' out on our first date (Mm)    You and me are thrifty, so go all-you-can-eatFill up your bag and I fill up a plate (Mm)We talk for hours and hours about the sweet and the sour    And how your family is doin' okay (Mm)And leave and get in a taxi, and kiss in the back seatTell the driver make the radio play and I'm singin' like        Girl, you know I want your love  Your love was handmade for somebody like me  Well, come on now, follow my leadI may be crazy, don't mind me    Say, ""Boy, let's not talk too much""  Grab on my waist and put that body on me  Well, come on now, follow my leadCome, come on now, follow my lead, mm       I'm in love with the shape of youWe push and pull like a magnet do    Although my heart is fallin' too  I'm in love with your body  And last night, you were in my roomAnd now my bed sheets smell like you    Every day, discoverin' somethin' brand newWell, I'm in love with your body        Oh, I, oh, I, oh, I, oh, I  Well, I'm in love with your body  Oh, I, oh, I, oh, I, oh, I  Well, I'm in love with your body  Oh, I, oh, I, oh, I, oh, I  Well, I'm in love with your body  Every day, discoverin' somethin' brand newI'm in love with the shape of you        Come on, be my baby, come on  Come on, be my baby, come on  Come on, be my baby, come on  Come on, be my baby, come on  Come on, be my baby, come on  Come on, be my baby, come on  Come on, be my baby, come on  Come on, be my baby, come on     I'm in love with the shape of youWe push and pull like a magnet do    Although my heart is fallin' too  I'm in love with your body  And last night, you were in my roomAnd now my bed sheets smell like you    Every day, discoverin' somethin' brand newWell, I'm in love with your body        Come on, be my baby, come on  Come on, be my baby, come on  I'm in love with your body  Come on, be my baby, come on  Come on, be my baby, come on  I'm in love with your body  Come on, be my baby, come on  Come on, be my baby, come on  I'm in love with your body  Every day, discoverin' somethin' brand newI'm in love with the shape of you",2010s,7.42,17.78,9.16,joy,672
3,Starboy,The Weeknd,"   Ayy        I'm tryna put you in the worst mood, ah    P1 cleaner than your church shoes, ahMilli point two just to hurt you, ah    All red Lamb' just to tease you, ahNone of these toys on lease too, ahMade your whole year in a week too, yah    Main bitch outta your league too, ahSide bitch outta your league too, ah          House so empty, need a centerpiece    Twenty racks a table, cut from ebonyCut that ivory into skinny piecesThen she clean it with her face, man, I love my baby, ah    You talkin' money, need a hearin' aidYou talkin' 'bout me, I don't see the shadeSwitch up my style, I take any laneI switch up my cup, I kill any pain        (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy       Every day, a nigga try to test me, ahEvery day, a nigga try to end me, ah    Pull off in that Roadster SV, ahPockets overweight, gettin' hefty, ah    Comin' for the king, that's a far cry, II come alive in the fall time, I    The competition, I don't really listenI'm in the blue Mulsanne, bumpin' New Edition          House so empty, need a centerpiece    Twenty racks a table, cut from ebonyCut that ivory into skinny piecesThen she clean it with her face, man, I love my baby, ah    You talkin' money, need a hearin' aidYou talkin' 'bout me, I don't see the shadeSwitch up my style, I take any laneI switch up my cup, I kill any pain        (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy       Let a nigga brag PittLegend of the fall, took the year like a bandit    Bought Mama a crib and a brand new wagonNow she hit the grocery shop lookin' lavish    Star Trek roof in that Wraith of KhanGirls get loose when they hear this song    A hundred on the dash get me close to God    We don't pray for love, we just pray for cars          House so empty, need a centerpiece    Twenty racks a table, cut from ebonyCut that ivory into skinny piecesThen she clean it with her face, man, I love my baby, ah    You talkin' money, need a hearin' aidYou talkin' 'bout me, I don't see the shadeSwitch up my style, I take any laneI switch up my cup, I kill any pain        (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)Look what you've done(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)I'm a motherfuckin' starboy",2010s,16.2,9.6,45.86,sadness,429
4,Someone You Loved,Lewis Capaldi,"   I'm going under, and this time, I fear there's no one to save me    This all or nothing really got a way of driving me crazy    I need somebody to hear,  somebody to knowSomebody to have, somebody to hold    It's easy to say, but it's never the sameI guess I kinda liked the way you numbed all the pain        Now, the day bleeds into nightfallAnd you're not here to get me through it all    I let my guard down and then you pulled the rug    I was getting kinda used to being someone you loved      I'm going under, and this time, I fear there's no one to turn toThis all or nothing way of loving got me sleeping without you    Now, I need somebody to know, somebody to hear  Somebody to have, just to know how it feels  It's easy to say, but it's never the sameI guess I kinda like the way you help me escape        Now, the day bleeds into nightfall    And you're not here to get me through it all  I let my guard down and then you pulled the rug    I was getting kinda used to being someone you loved     And I tend to close my eyes when it hurts sometimesI fall into your armsI'll be safe in your sound till I come back around        For now, the day bleeds into nightfallAnd you're not here to get me through it all    I let my guard down and then you pulled the rug    I was getting kinda used to being someone you loved  But now the day bleeds into nightfallAnd you're not here to get me through it all    I let my guard down and then you pulled the rug    I was getting kinda used to being someone you loved  I let my guard down and then you pulled the rug    I was getting kinda used to being someone you loved",blues,0.91,1.02,4.55,sadness,314
5,As It Was,Harry Styles,"   Come on, Harry, we wanna say goodnight to you        Holdin' me back  Gravity's holdin' me back  I want you to hold out the palm of your hand  Why don't we leave it at that?  Nothin' to say    When everything gets in the way  Seems you cannot be replaced  And I'm the one who will stay, oh-oh-oh      In this world, it's just us  You know it's not the same as it was    In this world, it's just us  You know it's not the same as it was    As it was, as it was  You know it's not the same      Answer the phone  ""Harry, you're no good aloneWhy are you sitting at home on the floor?What kind of pills are you on?""    Ringin' the bellAnd nobody's coming to help    Your daddy lives by himself    He just wants to know that you're well, oh-oh-oh     In this world, it's just us  You know it's not the same as it was    In this world, it's just us  You know it's not the same as it was    As it was, as it was  You know it's not the same      Go home, get ahead, light-speed internet  I don't wanna talk about the way that it was    Leave America, two kids follow her  I don't wanna talk about who's doin' it first      (Hey)  As it was  You know it's not the same as it was    As it was, as it was",pop,6.15,9.77,31.24,sadness,233
6,Sunflower,Post Malone,"   Ayy, ayy, ayy, ayy (Ooh)  Ooh, ooh, ooh, ooh (Ooh)  Ayy, ayy  Ooh, ooh, ooh, ooh      Needless to say, I keep a check  She was a bad-bad, nevertheless (Yeah)  Callin' it quits now, baby, I'm a wreck (Wreck)  Crash at my place, baby, you're a wreck (Wreck)  Needless to say, I'm keeping a check  She was a bad-bad, nevertheless  Callin' it quits now, baby, I'm a wreck  Crash at my place, baby, you're a wreck  Thinkin' in a bad way, losin' your grip  Screamin' at my face, baby, don't trip  Someone took a big L, don't know how that felt    Lookin' at you sideways, party on tilt  Ooh-ooh, some things you just can't refuse  She wanna ride me like a cruise and I'm not tryna lose        Then you're left in the dust, unless I stuck by yaYou're the sunflower, I think your love would be too muchOr you'll be left in the dust, unless I stuck by yaYou're the sunflower, you're the sunflower       Every time I'm leavin' on ya (Ooh)  You don't make it easy, no (No, no)  Wish I could be there for ya (Ooh)  Give me a reason to, oh (Oh)  Every time I'm walkin' out (Oh)  I can hear you tellin' me to turn around (Oh, oh)  Fightin' for my trust and you won't back down (No)  Even if we gotta risk it all right now, oh (Now)  I know you're scared of the unknown (Known)  You don't wanna be alone (Alone)  I know I always come and go (And go)  But it's out of my control      And you'll be left in the dust, unless I stuck by yaYou're the sunflower, I think your love would be too muchOr you'll be left in the dust, unless I stuck by yaYou're the sunflower, you're the sunflower (Yeah)",2010s,7.01,5.96,31.07,sadness,299
7,Sweater Weather,The Neighbourhood,"   And all I am is a manI want the world in my hands    I hate the beach, but I standIn California with my toes in the sand    Use the sleeves of my sweater, let's have an adventure    Head in the clouds, but my gravity's centered    Touch my neck and I'll touch yours    You in those little high-waisted shorts, oh      She knows what I think about  And what I think about  One love, two mouths  One love, one house  No shirt, no blouse  Just us, you find out  Nothing that I wouldn't wanna tell you about, no      'Cause it's too cold for you here and nowSo let me hold both your hands in the holes of my sweater        And if I may just take your breath away  I don't mind if there's not much to say  Sometimes the silence guides a mindTo move to a place so far away    The goosebumps start to raiseThe minute that my left hand meets your waist    And then I watch your face  Put my finger on your tongue 'cause you love the taste, yeah    These hearts adore  Everyone the other beats hardest for  Inside, this place is warmOutside, it starts to pour       Comin' down  One love, two mouths  One love, one house  No shirt, no blouse  Just us, you find out  Nothin' that I wouldn't wanna tell you about  No, no, no      'Cause it's too cold for you here and nowSo let me hold both your hands in the holes of my sweater    'Cause it's too cold for you here and nowSo let me hold both your hands in the holes of my sweater    Woah      Woah, woah, woah  Woah, woah, woah, woah  Woah, woah  Woah, woah, woah, woah  Woah, woah      'Cause it's too cold for you here and nowSo let me hold both your hands in the holes of my sweater    'Cause it's too cold for you here and nowLet me hold both your hands in the holes of my sweater       And it's too cold, it's too cold  The holes of my sweater",pop,10.28,9.48,38.64,sadness,338
8,One Dance,Drake,"   Grips on your waist, front way, back wayYou know that I don't play    Streets not safe but I never run awayEven when I'm away    Oti, otiThere's never much love when we go OTI pray to make it back in one pieceI pray, I pray        That's why I need a one danceGot a Hennessy in my handOne more time 'fore I goHigher powers taking a hold on meI need a one danceGot a Hennessy in my handOne more time 'fore I goHigher powers taking a hold on me      Baby, I like your style       Strength and guidanceAll that I'm wishing for my friends    Nobody makes it from my endsI had to bust up the silence    You know you gotta stick by meSoon as you see the text, reply meI don't wanna spend time fightingWe've got no time, and that's why        I need a one danceGot a Hennessy in my handOne more time 'fore I goHigher powers taking a hold on meI need a one danceGot a Hennessy in my handOne more time 'fore I goHigher powers taking a hold on me        Got a pretty girl and she love me long timeFine like a wine, she love me long timeOh, yeah, very long timeBack up, back up, back up, and whine itBack up, back up, and whine itGirl, just back up, back up, back up, and whine, girlOh, yes, steady and fineBack, up, back up and whine it, mm       Oh, tell me, I need to know  Where do you wanna go?  'Cause if you're down, I'll take it slow  Make you lose control      Where, where, where  Where, where, where, where (Oh, yeah, very long time)    Where, where, where (Back up, back up, and wine am, girl)    Where, where, where, where  'Cause if you're down (Back up, back up, and–)    'Cause if you're down (Back up, back up, and–)    'Cause if you're down (Back up, back up, and–)        I need a one dance (Where, where, where)Got a Hennessy in my hand (Where, where, where, where)One more time 'fore I go (Where)Higher powers taking a hold on me (Where, where, where, where)I need a one danceGot a Hennessy in my handOne more time 'fore I goHigher powers taking a hold on me          How do you spell ""Hennessy?""I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...It's definitely not showing upI know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s",r&b,6.33,17.46,24.53,sadness,405
9,Stay,The Kid Laroi,"   I do the same thing I told you that I never would  I told you I'd change, even when I knew I never could  I know that I can’t find nobody else as good as you  I need you to stay, need you to stay, hey (Oh)      I get drunk, wake up, I'm wasted still  I realize the time that I wasted here  I feel like you can't feel the way I feel  Oh, I’ll be fucked up if you can't be right here      Oh, ooh-woah (Oh, ooh-woah, ooh-woah)  Oh, ooh-woah (Oh, ooh-woah, ooh-woah)  Oh, ooh-woah (Oh, ooh-woah, ooh-woah)  Oh, I'll be fucked up if you can't be right here      I do the same thing I told you that I never would  I told you I'd change, even when I knew I never could  I know that I can't find nobody else as good as you  I need you to stay, need you to stay, hey  I do the same thing I told you that I never would  I told you I'd change, even when I knew I never could  I know that I can't find nobody else as good as you  I need you to stay, need you to stay, hey     When I’m away from you, I miss your touch (Ooh)  You’re the reason I believe in love  It's been difficult for me to trust (Ooh)  And I’m afraid that I'ma fuck it up  Ain't no way that I can leave you stranded'Cause you ain’t ever left me empty-handed    And you know that I know that I can't live without you  So, baby, stay      Oh, ooh-woah ( Oh, ooh-woah, ooh-woah )  Oh, ooh-woah ( Oh, ooh-woah, ooh-woah )  Oh, ooh-woah ( Oh, ooh-woah, ooh-woah )  I'll be fucked up if you can't be right here      I do the same thing I told you that I never would  I told you I'd change, even when I knew I never could  I know that I can't find nobody else as good as you  I need you to stay, need you to stay, hey  I do the same thing I told you that I never would  I told you I'd change, even when I knew I never could  I know that I can't find nobody else as good as you  I need you to stay, need you to stay, hey     Woah-oh  I need you to stay, need you to stay, hey",rap,7.52,1.83,54.16,sadness,399
10,Perfect,Ed Sheeran,"   I found a love for meOh, darlin', just dive right in and follow my lead    Well, I found a girl, beautiful and sweetOh, I never knew you were the someone waitin' for me        'Cause we were just kids when we fell in loveNot knowin' what it wasI will not give you up this time    But, darlin', just kiss me slowYour heart is all I ownAnd in your eyes, you're holdin' mine        Baby, I'm dancin' in the dark with you between my arms    Barefoot on the grass while listenin' to our favourite song    When you said you looked a mess, I whispered underneath my breath    But you heard it, ""Darlin', you look perfect tonight""        Well, I found a woman stronger than anyone I knowShe shares my dreams, I hope that, someday, I'll share her homeI found a love to carry more than just my secretsTo carry love, to carry children of our own       We are still kids, but we're so in loveFightin' against all oddsI know we'll be alright this time    Darlin', just hold my handBe my girl, I'll be your manI see my future in your eyes        Baby, I'm dancin' in the dark with you between my arms    Barefoot on the grass while listenin' to our favourite song    When I saw you in that dress, lookin' so beautifulI don't deserve this, darlin', you look perfect tonight        No, no, no  Mm, no, no      Baby, I'm dancin' in the dark with you between my arms    We're barefoot on the grass, oh, listenin' to our favourite song    I have faith in what I see, now I know I have metAn angel in person and she looks perfectI don't deserve this, you look perfect tonight",2010s,2.89,28.91,33.1,sadness,281
